customer_id,customer_name,gender,age,city,state,country,join_date,customer_segment,join_month,join_year
CUST07363,Bakhshi Shenoy,Male,70.0,Mumbai,Punjab,India,2021-10-20,Small Business,2021-10,2021
CUST02185,Avni Thaman,Female,63.0,Surat,Gujarat,India,2022-04-30,Small Business,2022-04,2022
CUST06157,Oliver Kade,Female,66.0,Pune,Maharashtra,India,2021-09-11,Home Office,2021-09,2021
CUST06163,Udarsh Ganesh,Male,38.0,Amritsar,Punjab,India,2021-02-05,Consumer,2021-02,2021
CUST04599,Girindra Bail,Male,68.0,Ahmedabad,Gujarat,India,2024-06-12,Home Office,2024-06,2024
CUST07591,Vamakshi Thakkar,Female,29.0,Lucknow,Uttar Pradesh,India,2022-11-12,Small Business,2022-11,2022
CUST08819,Guneet Ghose,Female,41.0,Jaipur,Rajasthan,India,2024-05-08,Corporate,2024-05,2024
CUST00762,Kala Mandal,Male,67.0,Mysore,Karnataka,India,2025-08-02,Consumer,2025-08,2025
CUST06799,Kalpit Sekhon,Male,37.0,Coimbatore,Tamil Nadu,India,2021-03-04,Corporate,2021-03,2021
CUST08172,Gunbir Mukhopadhyay,Female,70.0,Faridabad,Haryana,India,2025-06-28,Consumer,2025-06,2025
CUST08970,David Hayer,Male,53.0,Jaipur,Rajasthan,India,2026-05-10,Consumer,2026-05,2026
CUST09035,Orinder Dua,Female,50.0,Jaipur,Rajasthan,India,2026-06-18,Consumer,2026-06,2026
CUST06786,Charan Sastry,Male,58.0,Kolkata,West Bengal,India,2021-09-10,Small Business,2021-09,2021
CUST01661,Ojas Sha,Female,54.0,Jaipur,Rajasthan,India,2025-02-08,Small Business,2025-02,2025
CUST02886,Banjeet Dewan,Male,68.0,Kolkata,West Bengal,India,2021-12-02,Consumer,2021-12,2021
CUST02890,Harish Kala,Female,39.0,Surat,Gujarat,India,2024-09-07,Corporate,2024-09,2024
CUST01471,Barkha Narula,Female,37.0,New Delhi,Delhi,India,2025-09-11,Consumer,2025-09,2025
CUST05690,Radha Raman,Female,63.0,Coimbatore,Tamil Nadu,India,2023-04-01,Small Business,2023-04,2023
CUST09900,Girik Chauhan,Male,63.0,Surat,Gujarat,India,2021-02-11,Corporate,2021-02,2021
CUST02958,Utkarsh Bir,Female,68.0,Chennai,Tamil Nadu,India,2021-04-27,Corporate,2021-04,2021
CUST00705,Zarna Dhar,Female,60.0,Jaipur,Rajasthan,India,2023-03-16,Home Office,2023-03,2023
CUST03529,Dev Badal,Male,62.0,Coimbatore,Tamil Nadu,India,2020-10-04,Home Office,2020-10,2020
CUST06139,Abeer Vohra,Female,47.0,Gurgaon,Haryana,India,2025-04-30,Corporate,2025-04,2025
CUST05771,Pushti Ray,Female,45.0,Amritsar,Punjab,India,2022-04-01,Consumer,2022-04,2022
CUST01796,Karan Pathak,Male,27.0,Amritsar,Punjab,India,2026-02-28,Small Business,2026-02,2026
CUST03657,Ojas Manne,Male,69.0,New Delhi,Delhi,India,2025-12-28,Small Business,2025-12,2025
CUST04454,Nitesh Gala,Male,43.0,Pune,Maharashtra,India,2021-03-29,Consumer,2021-03,2021
CUST03081,Dakshesh Mane,Female,48.0,Chennai,Tamil Nadu,India,2022-12-27,Small Business,2022-12,2022
CUST01898,Rachita Mukherjee,Male,18.0,Mumbai,Maharashtra,India,2021-11-28,Small Business,2021-11,2021
CUST07147,Daksh Sathe,Female,57.0,Amritsar,Punjab,India,2025-12-19,Corporate,2025-12,2025
CUST06034,Gautam Sabharwal,Female,43.0,Chennai,Tamil Nadu,India,2025-05-27,Small Business,2025-05,2025
CUST09750,Wahab De,Female,36.0,Ahmedabad,Gujarat,India,2023-03-06,Home Office,2023-03,2023
CUST02139,Vansha Ram,Male,51.0,Ludhiana,Punjab,India,2021-07-25,Home Office,2021-07,2021
